Vibrations	Intensities	km/mol
		101.9 	3.241681886557496 
		153.3 	0.1265525927727985 
		162.7 	0.1507467198602352 
		207.6 	0.240606184857694 
		216.0 	0.3426566483397086 
		233.8 	0.7638827708506091 
		253.3 	0.6383007966934727 
		279.1 	0.08504136509998134 
		286.6 	1.921240062422027 
		369.7 	0.6985690214184023 
		379.1 	0.1343858811786541 
		400.6 	0.9334561716631807 
		459.1 	0.4416883671300628 
		504.4 	3.431608089493867 
		540.7 	2.77746468627419 
		557.6 	1.084951877141094 
		592.1 	1.263433737328747 
		635.0 	1.551554293878503 
		690.9 	0.7511299315834844 
		730.6 	8.520856131954909 
		804.5 	0.3780271427460999 
		835.1 	2.160430845531021 
		848.0 	0.7082758081156016 
		894.2 	0.8169204252517087 
		901.5 	2.639663597258002 
		917.2 	2.829294004595155 
		921.9 	0.009280684271815933 
		932.9 	4.172148990148333 
		965.3 	0.5024058199868087 
		991.4 	1.052165338151926 
		997.1 	16.49803585087953 
		1016.6 	35.55456010522519 
		1059.3 	1.143403772363572 
		1072.6 	5.652940816632961 
		1105.0 	1.970294213398115 
		1122.9 	0.560059108761343 
		1147.5 	3.143127135252703 
		1171.1 	1.1635766974963 
		1177.2 	3.891914581579838 
		1199.4 	1.032950230871741 
		1213.2 	0.8658456680650728 
		1226.5 	3.651148224461524 
		1248.8 	11.06409039912974 
		1271.0 	4.48506380127386 
		1275.8 	1.911607115935564 
		1299.4 	7.520650076535267 
		1340.0 	14.4204003345487 
		1348.9 	12.2176627243975 
		1364.6 	20.14750619726509 
		1397.7 	19.55225879319601 
		1421.1 	6.288214241113465 
		1426.6 	11.42476047430575 
		1432.0 	10.54043534832927 
		1437.8 	8.369763850293973 
		1445.2 	5.411501330366607 
		1456.0 	2.280852254729194 
		1458.7 	12.0192146877699 
		1468.7 	11.6501199243926 
		1743.4 	221.0757991522752 
		2941.2 	13.64473191884755 
		2943.8 	13.97417491630092 
		2945.6 	27.96287441873096 
		2962.3 	18.52168806617702 
		2971.1 	4.549890904951645 
		2973.6 	25.22751490266829 
		3001.7 	23.71487188413095 
		3014.3 	0.2404607599387898 
		3023.1 	3.399361865587998 
		3027.0 	1.91908216515395 
		3027.7 	22.3537578936521 
		3031.9 	25.70436722231051 
		3038.2 	6.56346363831724 
		3041.5 	11.33364563784865 
		3044.9 	13.95281611027033 
		3058.2 	15.35908020632296 

